q28_name_trusted_source_cleaned,nvals,N,bias15ppt,net_extreme,bias,bad_congress,bad_repub,bad_dem,vcon,vlib,con,lib,mod,extreme
"ABC",20,287,.3368046,-.3361816,1.120657,.4889631,.4889631,0,0,.0343569,.0029818,.5921229,.3705385,.0343569
"AP",6,83,.3344915,-.440339,1.211908,.4159322,0,.4159322,0,0,.2212712,.3383898,.440339,0
"BBC",36,1679,.310297,-.5426691,1.143527,.7189655,.3814171,.4068802,0,.1207552,.0594536,.1563669,.6634243,.1207552
"Breitbart",8,154,.5045299,.748839,1.565232,1,.8066996,.9421393,.748839,0,.251161,0,0,.748839
"CBS",20,233,.3728375,-.8223099,1.227161,.6417926,.6417926,.0263516,0,0,.0242574,.1534327,.8223099,0
"CNN",79,1674,.2893381,-.5334744,1.107063,.5655202,.5597499,.0492698,.0356197,.0407439,.002219,.3115793,.6098381,.0763636
"Drudge Report",9,202,.3470119,-.0027118,1.207068,.6361032,.1950982,.4779984,.0822247,0,.5811502,.2516885,.0849366,.0822247
"Fox News",195,4994,.4461151,-.0609545,1.384766,.7774134,.2347703,.7642248,.1668931,0,.5765051,.0287543,.2278476,.1668931
"MSNBC",73,2820,.3789925,-.1351374,1.298791,.6261532,.6261532,.0078475,0,.0938985,.0088451,.6682205,.2290359,.0938985
"Missing",623,10261,.3497722,-.2711262,1.203791,.621409,.323527,.5063354,.0797504,.0325487,.4288889,.0753865,.3834254,.1122991
"NBC",28,747,.3697363,-.8934628,1.269826,.9097699,.9097699,0,.018441,0,.0150649,.0545903,.9119038,.018441
"NPR",153,2972,.3367644,-.0742288,1.227636,.7765373,.7765373,.0332189,0,.2173965,.0055905,.4853878,.2916252,.2173965
"New York Times",96,2162,.362486,-.0054651,1.261721,.7812509,.7812509,.0124305,0,.2438477,.0006383,.5062013,.2493128,.2438477
"One America News",7,91,.4459967,.243954,1.484159,.7128434,.4276825,.7128434,.5311106,0,.1817328,0,.2871566,.5311106
"PBS",42,702,.1418241,-.2433053,.7797537,.7162713,.7162713,.0007781,.0512504,.0212917,.001838,.6097724,.3158474,.0725421
"Reuters",7,154,.3346094,-.1971875,1.265455,.3510156,.3510156,.0026563,0,0,.0072656,.7955469,.1971875,0
"Rush Limbaugh",14,99,.5194637,.4573017,1.487971,.9757751,.4664432,.9718138,.469338,0,.5186257,0,.0120363,.469338
"The Economist",10,214,.2823196,-.2777414,1.108124,.2533791,.2533791,.0020711,0,0,.0184216,.7038369,.2777414,0
"The Guardian",5,132,.2522531,-.0611415,1.112761,.8388408,.8388408,0,0,.4694292,0,0,.5305707,.4694292
"Wall Street Journal",20,339,.2595683,-.2850501,.96738,.5850527,.2375795,.476139,.0527731,.0073128,.5172769,.0775011,.3451361,.0600859
"Washington Post",52,1499,.3235705,-.0297364,1.193141,.6144211,.6144211,.0327655,.0255155,.2562555,0,.4067216,.3115074,.281771
