	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Zbias	Zbias	Zbias	Zbias	Zbias	bias15ppt	bias15ppt
							
trump	0.125***	0.133***	0.0936***	0.130***	0.133***	0.0756***	0.0756***
	(0.0202)	(0.0201)	(0.0202)	(0.0222)	(0.0228)	(0.0103)	(0.0107)
age_group1	0.0305	0.0285	0.0548	0.104**	0.125***	0.0252	-0.00916
	(0.0364)	(0.0362)	(0.0361)	(0.0420)	(0.0420)	(0.0186)	(0.0213)
age_group2	0.131***	0.124***	0.145***	0.138***	0.156***	0.0574***	0.0468***
	(0.0200)	(0.0199)	(0.0199)	(0.0211)	(0.0212)	(0.0102)	(0.0118)
age_group3	-0.00132	-0.00241	0.0199	0.0251	0.0399**	0.000726	-0.0119
	(0.0171)	(0.0171)	(0.0173)	(0.0185)	(0.0186)	(0.00879)	(0.00965)
age_group4	-0.0479***	-0.0483***	-0.0371***	-0.0361***	-0.0279**	-0.0235***	-0.00491
	(0.0124)	(0.0124)	(0.0125)	(0.0133)	(0.0135)	(0.00638)	(0.00649)
Tdemo_gender1	-0.0292***	-0.0152	-0.0125	-0.0195*	-0.0171	-0.00714	-0.0197***
	(0.0111)	(0.0111)	(0.0111)	(0.0117)	(0.0118)	(0.00569)	(0.00601)
Tdemo_political_affiliation1	0.139***	0.149***	0.146***	0.160***	0.168***	0.0669***	0.0812***
	(0.0199)	(0.0198)	(0.0199)	(0.0208)	(0.0211)	(0.0102)	(0.0108)
Tdemo_political_affiliation2	0.102***	0.142***	0.179***	0.240***	0.235***	0.0851***	0.0709***
	(0.0386)	(0.0384)	(0.0383)	(0.0421)	(0.0422)	(0.0197)	(0.0213)
Tdemo_political_affiliation4	0.0928***	0.0893***	0.0735***	0.0991***	0.111***	0.0365***	0.0282**
	(0.0216)	(0.0215)	(0.0216)	(0.0228)	(0.0231)	(0.0111)	(0.0117)
Tdemo_political_affiliation5	-0.187***	-0.166***	-0.168***	-0.235***	-0.220***	-0.0528***	-0.0333***
	(0.0200)	(0.0199)	(0.0198)	(0.0218)	(0.0221)	(0.0103)	(0.0107)
Tdemo_political_affiliation6	-0.0680***	-0.0540***	-0.0741***	-0.104***	-0.0802***	0.000784	0.00866
	(0.0204)	(0.0202)	(0.0203)	(0.0220)	(0.0223)	(0.0104)	(0.0106)
Tdemo_race_2015_new1	-0.00577	0.00479	-0.00551	0.0300	0.0363	0.00716	0.0540*
	(0.0506)	(0.0504)	(0.0503)	(0.0579)	(0.0578)	(0.0259)	(0.0296)
Tdemo_race_2015_new2	-0.141***	-0.163***	-0.149***	-0.145***	-0.123***	-0.0679***	-0.0743***
	(0.0324)	(0.0324)	(0.0323)	(0.0336)	(0.0336)	(0.0166)	(0.0162)
Tdemo_race_2015_new3	-0.0523**	-0.0601***	-0.0932***	-0.0431*	-0.0431*	-0.0421***	-0.0227*
	(0.0210)	(0.0209)	(0.0211)	(0.0226)	(0.0227)	(0.0107)	(0.0118)
Tdemo_race_2015_new4	-0.0855	-0.0654	-0.145	-0.0244	-0.0450	-0.0405	-0.0620
	(0.0970)	(0.0971)	(0.0980)	(0.0976)	(0.0974)	(0.0499)	(0.0496)
Tdemo_education_new1	-0.0414**	-0.0283	0.00804	-0.0597***	-0.0701***	-0.0203**	-0.0454***
	(0.0179)	(0.0179)	(0.0182)	(0.0197)	(0.0198)	(0.00921)	(0.00999)
Tdemo_education_new3	0.0390	0.0570	0.0452	0.0361	0.000831	0.0919**	0.0579
	(0.0708)	(0.0702)	(0.0699)	(0.0707)	(0.0710)	(0.0361)	(0.0365)
Tdemo_education_new4	0.0548***	0.0620***	0.0731***	0.0344*	0.00480	0.0376***	0.0289***
	(0.0163)	(0.0162)	(0.0163)	(0.0176)	(0.0178)	(0.00834)	(0.00876)
Tdemo_education_new5	-0.0626***	-0.0504***	-0.0175	-0.0545***	-0.0800***	-0.0191**	-0.0411***
	(0.0155)	(0.0154)	(0.0158)	(0.0169)	(0.0173)	(0.00793)	(0.00814)
Tdemo_education_new6	-0.0804**	-0.103***	-0.106***	-0.112***	-0.119***	-0.0338*	-0.0658***
	(0.0341)	(0.0341)	(0.0339)	(0.0365)	(0.0367)	(0.0175)	(0.0178)
vlib	0.166***	0.162***	0.140***	0.153***	0.0954***	0.0652***	0.0447***
	(0.0220)	(0.0219)	(0.0219)	(0.0232)	(0.0251)	(0.0113)	(0.0119)
lib	-0.0126	-0.000774	-0.0119	0.0149	0.00208	0.00411	0.00229
	(0.0162)	(0.0162)	(0.0163)	(0.0168)	(0.0171)	(0.00831)	(0.00872)
con	0.0671***	0.0644***	0.0493***	0.0728***	0.0707***	0.0319***	-0.00368
	(0.0174)	(0.0173)	(0.0173)	(0.0192)	(0.0194)	(0.00890)	(0.00918)
vcon	0.142***	0.135***	0.120***	0.204***	0.191***	0.0379***	0.0786***
	(0.0244)	(0.0243)	(0.0242)	(0.0282)	(0.0284)	(0.0125)	(0.0129)
trust_media	-0.0816***	-0.0991***	-0.0958***	-0.0708**	-0.107***	-0.0246*	-0.0439***
	(0.0253)	(0.0252)	(0.0254)	(0.0280)	(0.0285)	(0.0130)	(0.0133)
fair_media	-0.309***	-0.294***	-0.265***	-0.281***	-0.276***	-0.110***	-0.147***
	(0.0227)	(0.0226)	(0.0227)	(0.0256)	(0.0259)	(0.0116)	(0.0120)
notmuch_media	-0.317***	-0.312***	-0.294***	-0.294***	-0.271***	-0.128***	-0.173***
	(0.0161)	(0.0160)	(0.0160)	(0.0176)	(0.0178)	(0.00825)	(0.00870)
Fox_News			0.207***				
			(0.0172)				
MSNBC			0.0829***				
			(0.0246)				
NYT			0.0633***				
			(0.0216)				
PBS			-0.359***				
			(0.0355)				
WSJ			-0.135***				
			(0.0443)				
extreme_con				0.605***	0.456***		
				(0.0893)	(0.0932)		
extreme_lib					0.0920		
					(0.0774)		
more_con					0.0421***		
					(0.0157)		
more_lib					0.0511***		
					(0.0152)		
news_not_closely					-0.0491*		
					(0.0295)		
news_very_closely					0.128***		
					(0.0127)		
Constant	0.0440	0.0139	-0.0262	-0.0339	-0.124***	0.371***	0.447***
	(0.0272)	(0.0271)	(0.0275)	(0.0305)	(0.0324)	(0.0140)	(0.0145)
							
Observations	30,444	30,444	30,444	26,475	26,438	30,444	30,444
Adjusted R-squared	0.044	0.074	0.083	0.082	0.087	0.083	0.038
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
