q28_name_trusted_source_cleaned,bias15ppt,low_bias,up_bias,N,nvals,mod,vlib,vcon,Zbias,bias,trump,sebias15ppt,seZbias
"Breitbart",.5045299,.4253048,.583755,154,8,0,0,.748839,.4259131,1.565232,.9132851,.0404209,.1014184
"Rush Limbaugh",.5194637,.4205438,.6183836,99,14,.0120363,0,.469338,.3292125,1.487971,1,.0504693,.1036163
"One America News",.4459967,.3432999,.5486935,91,7,.2871566,0,.5311106,.3244415,1.484159,1,.0523963,.1049431
"Fox News",.4461151,.4322545,.4599757,4942,195,.2278476,0,.1668931,.2000395,1.384766,.9684389,.0070717,.0155661
"MSNBC",.3789925,.360942,.397043,2776,73,.2290359,.0938985,0,.0924322,1.298791,0,.0092094,.01799
"NBC",.3697363,.3350717,.4044008,746,28,.9119038,0,.018441,.0561793,1.269826,.0188869,.017686,.0305216
"Reuters",.3346094,.2598411,.4093777,154,7,.1971875,0,0,.0507081,1.265455,.0026563,.0381471,.070988
"New York Times",.362486,.3422129,.3827591,2161,96,.2493128,.2438477,0,.0460351,1.261721,.0002609,.0103434,.0192891
"NPR",.3367644,.3197271,.3538017,2957,153,.2916252,.2173965,0,.0033734,1.227636,.0408975,.0086925,.0166279
"CBS",.3728375,.3100695,.4356055,229,20,.8223099,0,0,.0027789,1.227161,.0021291,.0320245,.0653397
"AP",.3344915,.2323697,.4366133,83,6,.440339,0,0,-.0163122,1.211908,.6372034,.052103,.1194347
"Drudge Report",.3470119,.2812032,.4128205,202,9,.0849366,0,.0822247,-.0223699,1.207068,1,.0335758,.0761937
"Missing",.3497722,.3405402,.3590043,10252,623,.3834254,.0325487,.0797504,-.0264712,1.203791,.6803243,.0047102,.0100749
"Washington Post",.3235705,.2998788,.3472622,1499,52,.3115074,.2562555,.0255155,-.0398005,1.193141,0,.0120876,.0233406
"BBC",.310297,.2878453,.3327487,1632,36,.6634243,.1207552,0,-.1018988,1.143527,.4486523,.0114549,.0252184
"ABC",.3368046,.2820296,.3915797,287,20,.3705385,.0343569,0,-.1305231,1.120657,.0029818,.0279465,.0600152
"The Economist",.2823196,.2218688,.3427705,214,10,.2777414,0,0,-.1462088,1.108124,0,.0308423,.0547595
"CNN",.2893381,.2675437,.3111325,1664,79,.6098381,.0407439,.0356197,-.1475371,1.107063,.0060606,.0111196,.0217741
"Wall Street Journal",.2595683,.2128307,.3063058,339,20,.3451361,.0073128,.0527731,-.3223666,.96738,.6629809,.0238457,.0498674
"PBS",.1418241,.1159979,.1676503,702,42,.3158474,.0212917,.0512504,-.5572023,.7797537,.06574,.0131766,.0334235
